seed,source,lat_mean,lat_p99,thp_total,jain,pdr_pct,sla_viol,cre,decision_time_ms,rtt_ms
1001,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.08670001989230514,0.15499995788559318
1002,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.1275999820791185,0.24399999529123306
1003,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.08259998867288232,0.20329997641965747
1004,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.09059999138116837,0.5159999709576368
1005,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.089899986051023,0.20760000916197896
1006,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.08209998486563563,0.19210000755265355
1007,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.09030004730448127,0.2305000089108944
1008,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.09029998909682035,0.2201999886892736
1009,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.07990002632141113,0.21840003319084644
1010,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.22380001610144973,1.0095000034198165
1011,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.11799996718764305,0.3111999831162393
1012,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.09180000051856041,0.18079997971653938
1013,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.0953000271692872,0.26530004106462
1014,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.11650001397356391,0.548899988643825
1015,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.09680003859102726,0.235399988014251
1016,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.21870003547519445,0.34470000537112355
1017,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.10050000855699182,0.26870000874623656
1018,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.09459996363148093,0.25919999461621046
1019,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.0847000046633184,0.2148000057786703
1020,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.10189996100962162,0.2595999976620078
1021,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.08410000009462237,0.23090001195669174
1022,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.07940002251416445,0.23090001195669174
1023,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.10820000898092985,0.21789997117593884
1024,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.10870001278817654,0.28360000578686595
1025,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.09460002183914185,0.2449000021442771
1026,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.1002000062726438,0.2610000083222985
1027,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.12360000982880592,0.23419997887685895
1028,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.07639999967068434,0.19190000602975488
1029,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.0847000046633184,0.2367999986745417
1030,DISCRETE_EVENT_SIMULATOR,10.0,10.0,31.32,0.4483,100.0,100.0,0.0,0.0874000252224505,0.23399997735396028
