scenario,flow_id,slice_type,tx_pkts,rx_pkts,lost_pkts,delivery_ratio_pct,mean_delay_ms,throughput_mbps,sla_violated
baseline,1,URLLC,30,30,0,100.0,0.0,0.0,0
baseline,2,eMBB,30,30,0,100.0,0.0,0.0,0
baseline,3,URLLC,30,30,0,100.0,0.0,0.0,0
baseline,4,URLLC,30,30,0,100.0,0.0,0.0,0
baseline,5,eMBB,28000,27885,84,99.59,21.52,1.16,0
baseline,6,URLLC,280,280,0,100.0,5.0,0.01,0
baseline,7,URLLC,28000,27988,6,99.96,6.49,1.16,1
baseline,8,eMBB,280,280,0,100.0,4.91,0.01,0
baseline,9,URLLC,28000,27995,5,99.98,5.01,1.16,1
baseline,10,URLLC,280,280,0,100.0,4.84,0.01,0
baseline,11,eMBB,28000,28000,0,100.0,5.08,1.16,0
baseline,12,URLLC,280,280,0,100.0,4.75,0.01,0
baseline,13,URLLC,28000,27684,210,98.87,51.39,1.15,1
baseline,14,eMBB,280,280,0,100.0,4.31,0.01,0
baseline,15,URLLC,28000,27992,5,99.97,6.14,1.16,1
baseline,16,URLLC,280,280,0,100.0,4.66,0.01,0
baseline,17,eMBB,28000,27997,3,99.99,4.95,1.16,0
baseline,18,URLLC,280,280,0,100.0,4.58,0.01,0
baseline,19,URLLC,28000,27592,282,98.54,54.08,1.15,1
baseline,20,eMBB,280,269,9,96.07,8.59,0.01,0
baseline,21,URLLC,28000,25829,1413,92.25,129.51,1.07,1
baseline,22,URLLC,280,236,30,84.29,23.05,0.01,1
baseline,23,eMBB,28000,22772,3466,81.33,144.28,0.95,0
baseline,24,URLLC,280,280,0,100.0,4.31,0.01,0
baseline,25,URLLC,137500,46371,61311,33.72,14.66,17.66,1
baseline,26,eMBB,137500,46757,61029,34.01,7.99,17.81,0
baseline,27,URLLC,137500,46769,61029,34.01,7.76,17.81,1
baseline,28,URLLC,137500,46769,61029,34.01,7.67,17.81,1
baseline,29,eMBB,137500,39657,65804,28.84,129.84,15.1,0
baseline,30,URLLC,137500,46342,61284,33.7,15.34,17.65,1
baseline,31,URLLC,137500,45696,61852,33.23,25.73,17.4,1
baseline,32,eMBB,137500,40846,65243,29.71,83.13,15.55,0
baseline,33,URLLC,137500,16817,81252,12.23,148.19,6.4,1
baseline,34,URLLC,137500,5017,89118,3.65,42.57,1.91,1
baseline,35,eMBB,868,868,0,100.0,0.0,0.02,0
baseline,36,URLLC,8,8,0,100.0,0.0,0.0,0
baseline,5,eMBB,0,0,0,0.0,0.0,0.0,0
baseline,25,URLLC,0,0,0,0.0,0.0,0.0,0
baseline,6,URLLC,0,0,0,0.0,0.0,0.0,0
baseline,7,URLLC,0,0,0,0.0,0.0,0.0,0
baseline,26,eMBB,0,0,0,0.0,0.0,0.0,0
baseline,8,eMBB,0,0,0,0.0,0.0,0.0,0
baseline,9,URLLC,0,0,0,0.0,0.0,0.0,0
baseline,27,URLLC,0,0,0,0.0,0.0,0.0,0
baseline,10,URLLC,0,0,0,0.0,0.0,0.0,0
baseline,11,eMBB,0,0,0,0.0,0.0,0.0,0
baseline,28,URLLC,0,0,0,0.0,0.0,0.0,0
baseline,12,URLLC,0,0,0,0.0,0.0,0.0,0
baseline,13,URLLC,0,0,0,0.0,0.0,0.0,0
baseline,29,eMBB,0,0,0,0.0,0.0,0.0,0
baseline,14,eMBB,0,0,0,0.0,0.0,0.0,0
baseline,15,URLLC,0,0,0,0.0,0.0,0.0,0
baseline,30,URLLC,0,0,0,0.0,0.0,0.0,0
baseline,16,URLLC,0,0,0,0.0,0.0,0.0,0
baseline,17,eMBB,0,0,0,0.0,0.0,0.0,0
baseline,31,URLLC,0,0,0,0.0,0.0,0.0,0
baseline,18,URLLC,0,0,0,0.0,0.0,0.0,0
baseline,19,URLLC,0,0,0,0.0,0.0,0.0,0
baseline,32,eMBB,0,0,0,0.0,0.0,0.0,0
baseline,20,eMBB,0,0,0,0.0,0.0,0.0,0
baseline,21,URLLC,0,0,0,0.0,0.0,0.0,0
baseline,33,URLLC,0,0,0,0.0,0.0,0.0,0
