time_slot_s,scenario,slice_type,ue_count,traffic_load_mbps,rsrp_dbm,sinr_db,prb_demanded,tx_power_dbm,conflict_flag,conflict_type,rdl_action,sla_met
0.0,baseline,URLLC,16,73.87,-75.55,4.26,153,43.0,1,POWER_OVERLOAD,NONE_UNMANAGED,0
0.0,rdl_phase1,URLLC,18,39.89,-103.34,12.32,158,31.47,0,NONE,ALLOW_REGULAR,1
0.0,rdl_phase2,URLLC,29,39.98,-77.69,12.19,270,33.99,0,NONE,ALLOW_REGULAR,1
0.2,baseline,eMBB,18,24.05,-75.03,21.23,73,43.0,0,NONE,NONE_UNMANAGED,1
0.2,rdl_phase1,eMBB,22,33.3,-93.0,6.92,152,37.22,0,NONE,ALLOW_REGULAR,1
0.2,rdl_phase2,eMBB,20,50.32,-75.51,8.1,250,33.5,0,NONE,ALLOW_REGULAR,1
0.4,baseline,mMTC,24,53.84,-76.49,24.89,192,43.0,0,NONE,NONE_UNMANAGED,1
0.4,rdl_phase1,mMTC,30,32.38,-99.62,24.28,198,35.89,0,NONE,ALLOW_REGULAR,1
0.4,rdl_phase2,mMTC,16,79.84,-108.0,15.44,178,34.44,0,NONE,ALLOW_REGULAR,1
0.6,baseline,URLLC,31,32.59,-76.37,3.84,97,30.68,1,POWER_OVERLOAD,NONE_UNMANAGED,0
0.6,rdl_phase1,URLLC,22,52.3,-77.04,15.1,198,34.76,0,NONE,ALLOW_REGULAR,1
0.6,rdl_phase2,URLLC,34,26.56,-86.99,15.0,130,34.54,0,NONE,ALLOW_REGULAR,1
0.81,baseline,eMBB,21,73.58,-99.0,8.11,83,43.0,0,NONE,NONE_UNMANAGED,1
0.81,rdl_phase1,eMBB,24,56.58,-77.48,23.52,52,33.67,0,NONE,ALLOW_REGULAR,1
0.81,rdl_phase2,eMBB,33,99.69,-107.44,6.9,117,28.93,0,NONE,ALLOW_REGULAR,1
1.01,baseline,mMTC,26,90.47,-79.23,10.5,90,35.43,0,NONE,NONE_UNMANAGED,1
1.01,rdl_phase1,mMTC,24,68.93,-75.45,17.04,52,35.34,0,NONE,ALLOW_REGULAR,1
1.01,rdl_phase2,mMTC,32,43.95,-86.78,23.6,84,29.85,0,NONE,ALLOW_REGULAR,1
1.21,baseline,URLLC,18,79.39,-104.56,8.48,103,43.0,0,NONE,NONE_UNMANAGED,1
1.21,rdl_phase1,URLLC,21,75.0,-80.15,13.62,114,37.24,0,NONE,ALLOW_REGULAR,1
1.21,rdl_phase2,URLLC,16,27.38,-95.17,8.36,50,30.33,0,NONE,ALLOW_REGULAR,1
1.41,baseline,eMBB,19,70.97,-100.83,19.05,191,43.0,1,POWER_OVERLOAD,NONE_UNMANAGED,0
1.41,rdl_phase1,eMBB,32,20.77,-107.37,22.31,88,34.36,0,NONE,ALLOW_REGULAR,1
1.41,rdl_phase2,eMBB,26,66.6,-104.82,4.93,128,30.55,1,POWER_OVERLOAD,MARL_JOINT_OPT,1
1.61,baseline,mMTC,16,91.91,-102.65,7.74,76,35.6,0,NONE,NONE_UNMANAGED,1
1.61,rdl_phase1,mMTC,28,97.91,-83.77,23.29,110,36.92,0,NONE,ALLOW_REGULAR,1
1.61,rdl_phase2,mMTC,20,90.51,-109.13,18.94,135,33.48,0,NONE,ALLOW_REGULAR,1
1.81,baseline,URLLC,28,84.18,-79.76,20.65,118,37.01,0,NONE,NONE_UNMANAGED,1
