scenario_id,timestamp_utc,decision_latency_ms,conflict_mitigated,sla_preserved,governance_mode
S0,2026-09-14T16:51:23Z,0.032,1,1,H-RDL
S1,2026-09-14T16:51:23Z,0.051,1,1,H-RDL
S2,2026-09-14T16:51:23Z,0.08,1,1,H-RDL
S3,2026-09-14T16:51:23Z,0.027,1,1,H-RDL
S4,2026-09-14T16:51:23Z,0.051,1,1,H-RDL
S5,2026-09-14T16:51:23Z,0.007,1,1,H-RDL
S6,2026-09-14T16:51:23Z,4.778,1,1,H-RDL
S7,2026-09-14T16:51:23Z,0.008,1,1,H-RDL
S8,2026-09-14T16:51:23Z,0.004,1,1,H-RDL
S9,2026-09-14T16:51:23Z,0.004,1,1,H-RDL
S10,2026-09-14T16:51:23Z,0.028,1,1,H-RDL
S11,2026-09-14T16:51:23Z,0.004,1,1,H-RDL
S12,2026-09-14T16:51:23Z,0.06,1,1,H-RDL
S13,2026-09-14T16:51:23Z,0.108,1,1,H-RDL
S14,2026-09-14T16:51:23Z,0.105,1,1,H-RDL
S15,2026-09-14T16:51:23Z,0.007,1,1,H-RDL
