seed,scenario,urllc_latency_mean_ms,urllc_latency_p99_ms,urllc_sla_violation_pct,conflict_occurrence_pct,throughput_total_mbps,pdr_pct,jain_fairness,ping_pong_ev_min,mean_tx_power_dbm,decision_latency_ms
1001,Baseline,9.78,125.79,28.01,30.38,129.96,35.11,0.1872,30.3,40.0,0.0
1001,RDL_Phase1,2.84,3.03,0.0,0.44,1059.61,99.5,0.9423,0.0,32.5,15.98
1002,Baseline,11.58,123.05,35.95,30.01,149.32,31.09,0.1546,18.0,38.59,0.0
1002,RDL_Phase1,2.92,3.43,0.0,0.28,1200.19,99.7,0.9135,0.0,33.55,12.79
1003,Baseline,9.35,170.06,29.35,33.91,158.35,45.52,0.1175,24.4,38.08,0.0
1003,RDL_Phase1,3.16,3.03,0.0,0.34,1078.63,98.96,0.8882,0.0,33.7,12.97
1004,Baseline,12.89,145.53,26.11,35.04,139.93,34.18,0.1926,29.1,38.8,0.0
1004,RDL_Phase1,2.65,3.33,0.0,0.76,1194.22,99.36,0.9552,0.0,34.03,12.63
1005,Baseline,10.76,142.55,33.8,34.33,145.53,35.62,0.1262,29.7,40.02,0.0
1005,RDL_Phase1,2.77,2.71,0.0,1.18,1091.97,99.97,0.8984,0.0,32.76,15.62
1006,Baseline,10.25,150.69,32.38,35.68,175.91,45.52,0.1496,13.6,39.54,0.0
1006,RDL_Phase1,2.75,2.96,0.0,0.83,1099.27,98.98,0.9013,0.0,33.36,13.33
1007,Baseline,14.39,142.88,22.69,35.45,161.76,51.37,0.1571,29.2,38.29,0.0
1007,RDL_Phase1,2.96,3.13,0.0,0.21,1139.97,99.52,0.8915,0.0,32.75,15.01
1008,Baseline,13.02,142.08,31.72,30.15,140.22,37.45,0.0901,22.3,38.9,0.0
1008,RDL_Phase1,2.99,2.41,0.0,1.06,1101.02,99.43,0.9272,0.0,34.44,14.11
1009,Baseline,9.74,145.19,25.11,31.67,161.59,48.48,0.1836,21.7,40.69,0.0
1009,RDL_Phase1,2.53,3.55,0.0,0.46,1126.47,99.22,0.8862,0.0,34.81,16.13
1010,Baseline,9.62,133.59,23.58,28.91,159.36,49.65,0.1762,11.4,38.43,0.0
1010,RDL_Phase1,2.49,2.94,0.0,0.86,1087.07,99.63,0.9759,0.0,33.83,12.21
1011,Baseline,9.65,163.31,25.91,35.57,154.31,48.28,0.1889,25.1,38.87,0.0
1011,RDL_Phase1,2.72,3.14,0.0,0.56,1176.06,99.43,0.9156,0.0,35.17,15.22
1012,Baseline,13.23,129.56,31.39,28.88,159.2,53.7,0.0893,19.2,36.31,0.0
1012,RDL_Phase1,3.06,2.95,0.0,0.98,1053.82,99.76,0.888,0.0,33.85,16.68
1013,Baseline,10.58,140.69,31.64,33.31,148.75,38.9,0.1665,17.7,42.4,0.0
1013,RDL_Phase1,3.07,2.86,0.0,0.42,1042.49,99.38,0.8938,0.0,35.84,13.12
1014,Baseline,13.19,124.1,26.72,33.82,162.91,40.24,0.1637,24.1,39.65,0.0
1014,RDL_Phase1,3.11,2.74,0.0,0.34,1120.89,99.24,0.9313,0.0,32.48,13.81
1015,Baseline,9.98,144.66,35.04,38.59,161.97,40.69,0.1301,23.1,38.95,0.0
1015,RDL_Phase1,3.11,3.03,0.0,0.84,1104.67,99.66,0.8959,0.0,34.4,16.61
1016,Baseline,12.72,151.87,31.75,38.09,133.8,47.31,0.151,22.8,40.73,0.0
1016,RDL_Phase1,2.71,3.3,0.0,0.51,1164.59,99.14,0.9344,0.0,32.89,13.5
1017,Baseline,15.67,134.0,29.43,39.49,137.62,49.38,0.1585,27.4,37.88,0.0
1017,RDL_Phase1,2.92,3.32,0.0,0.81,1130.88,99.72,0.9135,0.0,34.87,11.24
1018,Baseline,11.54,164.45,29.17,30.74,173.27,25.42,0.1513,17.1,42.37,0.0
1018,RDL_Phase1,2.99,2.58,0.0,0.48,1009.29,99.01,0.8905,0.0,33.57,16.09
1019,Baseline,10.4,134.13,26.72,36.66,132.31,32.71,0.1285,20.7,40.9,0.0
1019,RDL_Phase1,2.9,3.16,0.0,1.11,1156.73,99.49,0.9092,0.0,33.63,17.52
1020,Baseline,10.59,147.09,24.92,38.23,167.85,36.28,0.1435,18.5,41.5,0.0
1020,RDL_Phase1,2.9,2.7,0.0,0.48,1155.34,99.54,0.9326,0.0,33.72,14.13
1021,Baseline,13.13,145.33,25.65,37.01,151.55,41.06,0.1247,29.2,39.61,0.0
1021,RDL_Phase1,2.67,3.25,0.0,1.19,1068.39,99.66,0.9046,0.0,32.3,13.5
1022,Baseline,9.91,130.59,23.21,30.85,140.39,28.48,0.0599,23.5,39.51,0.0
1022,RDL_Phase1,2.52,3.54,0.0,0.85,1149.76,99.83,0.9047,0.0,33.07,13.81
1023,Baseline,12.21,150.32,26.63,34.71,176.81,42.16,0.1571,18.3,39.89,0.0
