time_slot_s,scenario,slice_type,ue_count,traffic_load_mbps,rsrp_dbm,sinr_db,prb_demanded,tx_power_dbm,conflict_flag,conflict_type,rdl_action,sla_met
0.0,baseline,URLLC,22,21.6,-84.2,19.68,114,43.0,0,NONE,NONE_UNMANAGED,1
0.0,rdl_phase1,URLLC,34,69.89,-106.88,19.37,210,36.08,1,DIRECT_PRB,QOS_BOOST_URLLC,1
0.2,baseline,eMBB,26,82.56,-85.19,2.83,200,33.6,1,POWER_OVERLOAD,NONE_UNMANAGED,0
0.2,rdl_phase1,eMBB,16,94.96,-90.62,9.03,229,32.8,1,DIRECT_PRB,QOS_BOOST_URLLC,1
0.4,baseline,mMTC,18,89.87,-104.34,20.08,192,43.0,1,POWER_OVERLOAD,NONE_UNMANAGED,0
0.4,rdl_phase1,mMTC,19,51.28,-92.46,11.14,215,38.17,0,NONE,ALLOW_REGULAR,1
0.6,baseline,URLLC,17,73.94,-91.36,18.59,116,43.0,0,NONE,NONE_UNMANAGED,1
0.6,rdl_phase1,URLLC,34,85.5,-98.71,2.53,140,36.95,1,POWER_OVERLOAD,QOS_BOOST_URLLC,1
0.81,baseline,eMBB,32,96.59,-89.94,23.45,243,38.62,1,DIRECT_PRB,NONE_UNMANAGED,0
0.81,rdl_phase1,eMBB,18,68.51,-105.13,22.66,174,33.18,0,NONE,ALLOW_REGULAR,1
1.01,baseline,mMTC,17,51.89,-104.88,10.45,185,35.06,0,NONE,NONE_UNMANAGED,1
1.01,rdl_phase1,mMTC,29,97.05,-90.77,24.21,145,35.94,0,NONE,ALLOW_REGULAR,1
1.21,baseline,URLLC,28,90.09,-100.28,21.58,209,36.2,1,DIRECT_PRB,NONE_UNMANAGED,0
1.21,rdl_phase1,URLLC,33,50.92,-90.24,6.41,138,30.58,0,NONE,ALLOW_REGULAR,1
1.41,baseline,eMBB,25,80.34,-88.32,8.84,264,31.42,1,DIRECT_PRB,NONE_UNMANAGED,0
1.41,rdl_phase1,eMBB,23,82.62,-100.71,6.09,193,30.62,1,POWER_OVERLOAD,QOS_BOOST_URLLC,1
1.61,baseline,mMTC,18,70.66,-101.99,7.35,173,36.24,0,NONE,NONE_UNMANAGED,1
1.61,rdl_phase1,mMTC,20,54.09,-105.43,22.39,111,36.54,0,NONE,ALLOW_REGULAR,1
1.81,baseline,URLLC,17,49.42,-95.51,21.03,135,43.0,0,NONE,NONE_UNMANAGED,1
1.81,rdl_phase1,URLLC,16,30.7,-95.35,20.18,198,37.6,0,NONE,ALLOW_REGULAR,1
2.01,baseline,eMBB,21,69.52,-98.68,21.19,262,30.65,1,DIRECT_PRB,NONE_UNMANAGED,0
2.01,rdl_phase1,eMBB,18,49.71,-100.7,16.86,198,38.44,0,NONE,ALLOW_REGULAR,1
2.21,baseline,mMTC,18,89.17,-101.48,16.99,270,34.59,1,DIRECT_PRB,NONE_UNMANAGED,0
2.21,rdl_phase1,mMTC,24,91.37,-76.56,20.1,186,39.43,1,POWER_OVERLOAD,QOS_BOOST_URLLC,1
2.42,baseline,URLLC,16,55.01,-101.09,21.34,107,37.81,0,NONE,NONE_UNMANAGED,1
2.42,rdl_phase1,URLLC,25,59.64,-96.48,12.35,226,36.14,0,NONE,ALLOW_REGULAR,1
2.62,baseline,eMBB,27,32.01,-84.19,13.78,150,30.38,0,NONE,NONE_UNMANAGED,1
2.62,rdl_phase1,eMBB,25,72.72,-81.93,4.42,66,39.57,1,POWER_OVERLOAD,QOS_BOOST_URLLC,1
2.82,baseline,mMTC,22,48.26,-99.62,10.04,192,43.0,0,NONE,NONE_UNMANAGED,1
