flow_id,slice_type,packet_size_bytes,tx_pkts,rx_pkts,lost_pkts,delivery_ratio_pct,mean_delay_ms,jitter_ms,throughput_mbps,sla_violated,scenario,simulation
1,URLLC,128,30000,25697,4303,85.66,19.98,1.96,0.88,1,Baseline,Sim1_TVS_Conflict
2,eMBB,1024,15000,12717,2283,84.78,20.78,1.74,3.47,0,Baseline,Sim1_TVS_Conflict
3,mMTC,64,3000,2647,353,88.23,38.17,0.94,0.05,0,Baseline,Sim1_TVS_Conflict
4,URLLC,128,30000,23332,6668,77.77,9.79,0.88,0.8,1,Baseline,Sim1_TVS_Conflict
5,eMBB,1024,15000,12697,2303,84.65,27.62,2.35,3.47,0,Baseline,Sim1_TVS_Conflict
6,mMTC,64,3000,2649,351,88.3,24.76,2.27,0.05,0,Baseline,Sim1_TVS_Conflict
7,URLLC,128,30000,25450,4550,84.83,14.66,1.99,0.87,1,Baseline,Sim1_TVS_Conflict
8,eMBB,1024,15000,12791,2209,85.27,16.76,1.99,3.49,0,Baseline,Sim1_TVS_Conflict
9,mMTC,64,3000,2840,160,94.67,36.43,1.78,0.05,0,Baseline,Sim1_TVS_Conflict
10,URLLC,128,30000,25609,4391,85.36,9.22,1.55,0.87,1,Baseline,Sim1_TVS_Conflict
11,eMBB,1024,15000,13108,1892,87.39,18.39,1.35,3.58,0,Baseline,Sim1_TVS_Conflict
12,mMTC,64,3000,2679,321,89.3,35.88,1.91,0.05,0,Baseline,Sim1_TVS_Conflict
13,URLLC,128,30000,23424,6576,78.08,9.23,2.07,0.8,1,Baseline,Sim1_TVS_Conflict
14,eMBB,1024,15000,12757,2243,85.05,20.88,2.46,3.48,0,Baseline,Sim1_TVS_Conflict
15,mMTC,64,3000,2839,161,94.63,28.97,0.94,0.05,0,Baseline,Sim1_TVS_Conflict
16,URLLC,128,30000,25752,4248,85.84,8.53,1.45,0.88,1,Baseline,Sim1_TVS_Conflict
17,eMBB,1024,15000,12758,2242,85.05,21.97,1.5,3.48,0,Baseline,Sim1_TVS_Conflict
18,mMTC,64,3000,2695,305,89.83,34.02,1.99,0.05,0,Baseline,Sim1_TVS_Conflict
19,URLLC,128,30000,23061,6939,76.87,14.27,1.14,0.79,1,Baseline,Sim1_TVS_Conflict
20,eMBB,1024,15000,13144,1856,87.63,17.13,1.21,3.59,0,Baseline,Sim1_TVS_Conflict
21,mMTC,64,3000,2773,227,92.43,44.64,1.13,0.05,0,Baseline,Sim1_TVS_Conflict
22,URLLC,128,30000,23780,6220,79.27,12.52,2.32,0.81,1,Baseline,Sim1_TVS_Conflict
23,eMBB,1024,15000,12733,2267,84.89,15.68,1.98,3.48,0,Baseline,Sim1_TVS_Conflict
24,mMTC,64,3000,2774,226,92.47,35.97,1.22,0.05,0,Baseline,Sim1_TVS_Conflict
25,URLLC,128,30000,22521,7479,75.07,14.04,0.91,0.77,1,Baseline,Sim1_TVS_Conflict
26,eMBB,1024,15000,12979,2021,86.53,20.87,1.9,3.54,0,Baseline,Sim1_TVS_Conflict
27,mMTC,64,3000,2803,197,93.43,36.19,2.16,0.05,0,Baseline,Sim1_TVS_Conflict
28,URLLC,128,30000,25493,4507,84.98,14.82,2.19,0.87,1,Baseline,Sim1_TVS_Conflict
29,eMBB,1024,15000,12426,2574,82.84,19.65,1.08,3.39,0,Baseline,Sim1_TVS_Conflict
30,mMTC,64,3000,2723,277,90.77,37.06,1.33,0.05,0,Baseline,Sim1_TVS_Conflict
1,URLLC,128,30000,29971,29,99.9,2.96,0.22,1.02,0,H-RDL_Phase1,Sim1_TVS_Conflict
2,eMBB,1024,15000,14953,47,99.69,11.42,0.14,4.08,0,H-RDL_Phase1,Sim1_TVS_Conflict
3,mMTC,64,3000,2992,8,99.73,23.03,0.18,0.05,0,H-RDL_Phase1,Sim1_TVS_Conflict
4,URLLC,128,30000,29927,73,99.76,3.05,0.1,1.02,0,H-RDL_Phase1,Sim1_TVS_Conflict
5,eMBB,1024,15000,14895,105,99.3,12.62,0.22,4.07,0,H-RDL_Phase1,Sim1_TVS_Conflict
6,mMTC,64,3000,2989,11,99.63,21.6,0.22,0.05,0,H-RDL_Phase1,Sim1_TVS_Conflict
7,URLLC,128,30000,29980,20,99.93,2.8,0.23,1.02,0,H-RDL_Phase1,Sim1_TVS_Conflict
8,eMBB,1024,15000,14957,43,99.71,10.9,0.16,4.08,0,H-RDL_Phase1,Sim1_TVS_Conflict
9,mMTC,64,3000,2992,8,99.73,29.49,0.1,0.05,0,H-RDL_Phase1,Sim1_TVS_Conflict
10,URLLC,128,30000,29971,29,99.9,2.78,0.23,1.02,0,H-RDL_Phase1,Sim1_TVS_Conflict
11,eMBB,1024,15000,14879,121,99.19,12.58,0.1,4.06,0,H-RDL_Phase1,Sim1_TVS_Conflict
12,mMTC,64,3000,2982,18,99.4,23.3,0.15,0.05,0,H-RDL_Phase1,Sim1_TVS_Conflict
13,URLLC,128,30000,29925,75,99.75,2.95,0.1,1.02,0,H-RDL_Phase1,Sim1_TVS_Conflict
14,eMBB,1024,15000,14903,97,99.35,13.04,0.11,4.07,0,H-RDL_Phase1,Sim1_TVS_Conflict
15,mMTC,64,3000,2978,22,99.27,22.65,0.18,0.05,0,H-RDL_Phase1,Sim1_TVS_Conflict
16,URLLC,128,30000,29885,115,99.62,3.2,0.17,1.02,0,H-RDL_Phase1,Sim1_TVS_Conflict
17,eMBB,1024,15000,14928,72,99.52,13.23,0.12,4.08,0,H-RDL_Phase1,Sim1_TVS_Conflict
18,mMTC,64,3000,2977,23,99.23,25.71,0.15,0.05,0,H-RDL_Phase1,Sim1_TVS_Conflict
19,URLLC,128,30000,29943,57,99.81,2.63,0.2,1.02,0,H-RDL_Phase1,Sim1_TVS_Conflict
20,eMBB,1024,15000,14926,74,99.51,13.03,0.19,4.08,0,H-RDL_Phase1,Sim1_TVS_Conflict
21,mMTC,64,3000,2989,11,99.63,21.71,0.25,0.05,0,H-RDL_Phase1,Sim1_TVS_Conflict
22,URLLC,128,30000,29984,16,99.95,2.66,0.1,1.02,0,H-RDL_Phase1,Sim1_TVS_Conflict
23,eMBB,1024,15000,14839,161,98.93,12.1,0.13,4.05,0,H-RDL_Phase1,Sim1_TVS_Conflict
24,mMTC,64,3000,2979,21,99.3,26.58,0.21,0.05,0,H-RDL_Phase1,Sim1_TVS_Conflict
25,URLLC,128,30000,29865,135,99.55,2.33,0.24,1.02,0,H-RDL_Phase1,Sim1_TVS_Conflict
26,eMBB,1024,15000,14941,59,99.61,11.83,0.16,4.08,0,H-RDL_Phase1,Sim1_TVS_Conflict
27,mMTC,64,3000,2981,19,99.37,30.26,0.23,0.05,0,H-RDL_Phase1,Sim1_TVS_Conflict
28,URLLC,128,30000,29952,48,99.84,2.34,0.23,1.02,0,H-RDL_Phase1,Sim1_TVS_Conflict
29,eMBB,1024,15000,14917,83,99.45,12.61,0.11,4.07,0,H-RDL_Phase1,Sim1_TVS_Conflict
30,mMTC,64,3000,2987,13,99.57,24.99,0.14,0.05,0,H-RDL_Phase1,Sim1_TVS_Conflict
1,URLLC,256,20000,19966,34,99.83,3.7,0.18,1.02,0,H-RDL_Phase1_Energy,Sim2_Energy_QoS
2,eMBB,1024,20000,19943,57,99.72,13.79,0.2,4.08,0,H-RDL_Phase1_Energy,Sim2_Energy_QoS
3,URLLC,256,20000,19961,39,99.8,2.94,0.15,1.02,0,H-RDL_Phase1_Energy,Sim2_Energy_QoS
4,eMBB,1024,20000,19950,50,99.75,11.05,0.21,4.09,0,H-RDL_Phase1_Energy,Sim2_Energy_QoS
5,URLLC,256,20000,19925,75,99.62,2.95,0.13,1.02,0,H-RDL_Phase1_Energy,Sim2_Energy_QoS
6,eMBB,1024,20000,19948,52,99.74,10.74,0.12,4.09,0,H-RDL_Phase1_Energy,Sim2_Energy_QoS
7,URLLC,256,20000,19941,59,99.7,2.96,0.19,1.02,0,H-RDL_Phase1_Energy,Sim2_Energy_QoS
8,eMBB,1024,20000,19970,30,99.85,12.48,0.12,4.09,0,H-RDL_Phase1_Energy,Sim2_Energy_QoS
9,URLLC,256,20000,19948,52,99.74,3.43,0.14,1.02,0,H-RDL_Phase1_Energy,Sim2_Energy_QoS
10,eMBB,1024,20000,19948,52,99.74,12.64,0.21,4.09,0,H-RDL_Phase1_Energy,Sim2_Energy_QoS
11,URLLC,256,20000,19948,52,99.74,3.02,0.16,1.02,0,H-RDL_Phase1_Energy,Sim2_Energy_QoS
12,eMBB,1024,20000,19962,38,99.81,12.87,0.1,4.09,0,H-RDL_Phase1_Energy,Sim2_Energy_QoS
13,URLLC,256,20000,19917,83,99.59,2.47,0.2,1.02,0,H-RDL_Phase1_Energy,Sim2_Energy_QoS
14,eMBB,1024,20000,19979,21,99.89,14.57,0.18,4.09,0,H-RDL_Phase1_Energy,Sim2_Energy_QoS
15,URLLC,256,20000,19967,33,99.83,3.53,0.22,1.02,0,H-RDL_Phase1_Energy,Sim2_Energy_QoS
16,eMBB,1024,20000,19968,32,99.84,10.04,0.2,4.09,0,H-RDL_Phase1_Energy,Sim2_Energy_QoS
17,URLLC,256,20000,19913,87,99.56,3.66,0.1,1.02,0,H-RDL_Phase1_Energy,Sim2_Energy_QoS
18,eMBB,1024,20000,19953,47,99.77,13.45,0.2,4.09,0,H-RDL_Phase1_Energy,Sim2_Energy_QoS
19,URLLC,256,20000,19961,39,99.8,2.75,0.19,1.02,0,H-RDL_Phase1_Energy,Sim2_Energy_QoS
20,eMBB,1024,20000,19940,60,99.7,14.17,0.12,4.08,0,H-RDL_Phase1_Energy,Sim2_Energy_QoS
