seed,interference_rate,lat_mean,thp_total
1001,0.0,2.5,104.18
1002,0.0,2.5,104.18
1003,0.0,2.5,104.18
1004,0.0,2.5,104.18
1005,0.0,2.5,104.18
1006,0.0,2.5,104.18
1007,0.0,2.5,104.18
1008,0.0,2.5,104.18
1009,0.0,2.5,104.18
1010,0.0,2.5,104.18
1011,0.0,2.5,104.18
1012,0.0,2.5,104.18
1013,0.0,2.5,104.18
1014,0.0,2.5,104.18
1015,0.0,2.5,104.18
1016,0.0,2.5,104.18
1017,0.0,2.5,104.18
1018,0.0,2.5,104.18
1019,0.0,2.5,104.18
1020,0.0,2.5,104.18
1021,0.0,2.5,104.18
1022,0.0,2.5,104.18
1023,0.0,2.5,104.18
1024,0.0,2.5,104.18
1025,0.0,2.5,104.18
1026,0.0,2.5,104.18
1027,0.0,2.5,104.18
1028,0.0,2.5,104.18
1029,0.0,2.5,104.18
1030,0.0,2.5,104.18
