seed,tx_power_dbm,energy_gain_pct,thp_total
1001,33.5,22.1,154.65
1002,33.5,22.1,154.65
1003,33.5,22.1,154.65
1004,33.5,22.1,154.65
1005,33.5,22.1,154.65
1006,33.5,22.1,154.65
1007,33.5,22.1,154.65
1008,33.5,22.1,154.65
1009,33.5,22.1,154.65
1010,33.5,22.1,154.65
1011,33.5,22.1,154.65
1012,33.5,22.1,154.65
1013,33.5,22.1,154.65
1014,33.5,22.1,154.65
1015,33.5,22.1,154.65
1016,33.5,22.1,154.65
1017,33.5,22.1,154.65
1018,33.5,22.1,154.65
1019,33.5,22.1,154.65
1020,33.5,22.1,154.65
1021,33.5,22.1,154.65
1022,33.5,22.1,154.65
1023,33.5,22.1,154.65
1024,33.5,22.1,154.65
1025,33.5,22.1,154.65
1026,33.5,22.1,154.65
1027,33.5,22.1,154.65
1028,33.5,22.1,154.65
1029,33.5,22.1,154.65
1030,33.5,22.1,154.65
