seed,lat_mean,lat_p99,jain_fairness,thp_total
1001,10.0,10.0,0.5184,108.45
1002,10.0,10.0,0.5184,108.45
1003,10.0,10.0,0.5184,108.45
1004,10.0,10.0,0.5184,108.45
1005,10.0,10.0,0.5184,108.45
1006,10.0,10.0,0.5184,108.45
1007,10.0,10.0,0.5184,108.45
1008,10.0,10.0,0.5184,108.45
1009,10.0,10.0,0.5184,108.45
1010,10.0,10.0,0.5184,108.45
1011,10.0,10.0,0.5184,108.45
1012,10.0,10.0,0.5184,108.45
1013,10.0,10.0,0.5184,108.45
1014,10.0,10.0,0.5184,108.45
1015,10.0,10.0,0.5184,108.45
1016,10.0,10.0,0.5184,108.45
1017,10.0,10.0,0.5184,108.45
1018,10.0,10.0,0.5184,108.45
1019,10.0,10.0,0.5184,108.45
1020,10.0,10.0,0.5184,108.45
1021,10.0,10.0,0.5184,108.45
1022,10.0,10.0,0.5184,108.45
1023,10.0,10.0,0.5184,108.45
1024,10.0,10.0,0.5184,108.45
1025,10.0,10.0,0.5184,108.45
1026,10.0,10.0,0.5184,108.45
1027,10.0,10.0,0.5184,108.45
1028,10.0,10.0,0.5184,108.45
1029,10.0,10.0,0.5184,108.45
1030,10.0,10.0,0.5184,108.45
