seed,source,lat_mean,lat_p99,thp_total,jain,pdr_pct,sla_viol,cre
1001,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1002,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1003,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1004,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1005,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1006,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1007,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1008,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1009,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1010,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1011,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1012,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1013,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1014,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1015,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1016,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1017,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1018,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1019,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1020,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1021,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1022,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1023,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1024,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1025,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1026,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1027,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1028,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1029,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
1030,DISCRETE_EVENT_SIMULATOR,10.0,10.0,82.71,0.3806,100.0,100.0,0.0
